0.037,
0.037,
0.143,
0.144,
0.143,
0.097,
0.059,
0.038,
0.075,
0.054,
0.057,
0.049,
0.036,
0.065,
0.089,
0.053,
0.08,
0.054,
0.034,
0.074,
0.115,
0.128,
0.073,
0.076,
0.073,
0.108,
0.079,
0.068,
0.071,
0.034,
0.044,
0.059,
0.122,
0.135,
0.065,
0.061,
0.036,
0.038,
0.091,
0.057,
0.071,
0.039,
0.082,
0.072,
0.083,
0.055,
0.056,
0.063,
0.057,
0.07,
0.045,
0.066,
0.044,
0.071,
0.039,
0.036,
0.034,
0.08,
0.094,
0.091,
0.141,
0.073,
0.067,
0.059,
0.058,
0.065,
0.064,
0.057,
0.04,
0.058,
0.095,
0.08,
0.092,
0.058,
0.054,
0.066,
0.07,
0.061,
0.052,
0.068,
0.035,
0.072,
0.045,
0.056,
0.035,
0.06,
0.131,
0.059,
0.074,
0.082,
0.078,
0.06,
0.077,
0.065,
0.062,
0.138,
0.15,
0.064,
0.061,
0.052,
,
,
,
0.07033,0.028248198
